GiftId,TripId
89030,0
23230,0
56118,0
83785,0
34240,0
13552,0
27927,0
4199,0
26536,0
55466,0
89577,0
27929,0
56810,0
32452,0
8030,0
87706,0
93564,0
56110,0
50392,0
85062,0
78021,0
55158,0
20692,0
16764,0
50241,0
3255,0
81090,0
22310,0
61567,0
15643,0
48399,0
34259,0
73037,0
31595,0
5475,0
30417,0
17105,0
39728,0
46928,0
33072,0
62385,0
49744,0
78666,0
64450,0
56086,0
49546,0
61556,0
19169,0
62061,0
98694,0
77343,0
44484,0
34392,0
34650,0
13651,0
26050,0
96855,0
88072,0
8966,0
75168,0
84010,0
84900,0
52524,0
3815,0
48847,0
96458,1
20298,1
96267,1
70841,1
7803,1
2576,1
93092,1
19037,1
63105,1
96616,1
20957,1
66672,1
99484,1
16428,1
59615,1
56122,1
75956,1
4766,1
33210,1
42446,1
59396,1
31448,1
39480,1
62488,1
32151,1
45438,1
6417,1
28456,1
25220,1
90777,1
39235,1
64816,1
49905,1
3843,1
44861,1
11160,1
96486,1
24160,1
58008,1
9309,1
10061,1
82038,1
14250,1
68678,1
92238,1
61415,1
76653,1
81512,1
13365,1
57579,1
17607,1
85138,1
64188,1
91890,1
30579,1
21629,1
8314,1
47632,1
57720,1
45871,1
20832,1
87037,1
91341,1
39632,1
49659,1
39179,1
53350,1
43698,1
78500,1
44545,1
2163,1
66742,1
3100,1
88876,1
46512,1
82013,1
82076,1
19466,1
30679,1
60306,1
99901,1
71486,1
35568,1
82679,1
48653,1
79490,2
17970,2
715,2
31008,2
3799,2
53482,2
75342,2
51900,2
74613,2
23571,2
13492,2
96318,2
10815,2
70558,2
61027,2
89723,2
40419,2
46699,2
98836,2
52770,2
24444,2
95777,2
25141,2
21857,2
2424,2
80211,2
82908,2
70448,2
35502,2
62813,2
80748,2
99008,2
36332,2
93954,2
59240,2
80505,2
71753,2
83404,2
95261,2
74066,2
43615,2
21637,2
61278,2
50552,2
73798,2
24097,2
60440,2
68236,2
13241,2
24432,2
88692,2
99822,2
91852,2
78062,2
45437,2
62906,2
13983,2
25445,2
51620,2
93317,2
7713,2
2219,2
95853,2
96450,2
89631,2
17323,2
88126,2
9894,2
25043,2
56575,2
26564,2
27600,3
52722,3
81447,3
48202,3
40423,3
71061,3
74473,3
28095,3
33278,3
7659,3
82641,3
8399,3
39976,3
