GiftId,TripId
69548,0
48886,0
13870,0
59714,0
69843,0
46647,0
95199,0
83725,0
79668,0
49420,0
35632,0
87231,0
19588,0
78958,0
57340,0
97777,0
20349,0
31035,0
21432,0
60842,0
12839,0
30284,0
70288,0
11697,0
15500,0
97727,0
795,0
16207,0
31732,0
44698,0
96135,0
49281,0
82445,0
87562,0
87306,0
52203,0
64190,0
87304,0
24320,0
24899,0
41784,0
31380,0
41398,0
48032,0
75900,0
2584,0
99340,0
59939,0
202,0
42478,0
26949,0
31043,0
71685,0
90746,0
2924,0
33408,0
71077,0
64717,0
27507,0
21641,0
44197,0
16246,0
99316,0
46597,0
83461,0
27977,0
12657,0
21547,0
78516,0
78661,0
88936,70
71065,70
94257,70
55433,70
82110,70
26351,70
2545,70
78963,70
85442,70
78775,70
93817,70
43649,70
97858,70
98318,70
25090,70
44870,70
14369,70
12301,70
76890,70
95464,70
23367,70
65051,70
84832,70
60800,70
9124,70
21450,70
96588,70
14522,70
12683,70
23273,70
93277,70
58612,70
19968,70
90949,70
51708,70
68927,70
8501,70
51560,70
19950,70
88027,70
59950,70
9093,70
15227,70
7011,70
15722,70
93214,70
24597,70
67285,70
23245,70
99719,70
75125,70
82823,70
88229,70
4716,70
87938,70
76,70
24761,70
30566,70
86674,70
10044,70
2036,70
11666,70
88180,70
20844,70
91368,70
35681,70
95184,70
34682,70
33158,70
81783,70
60453,70
34227,70
57735,70
30623,70
96170,70
30357,70
74449,70
4947,70
9619,70
39039,70
843,70
92683,70
6429,70
72193,70
79655,154
12002,154
19539,154
42692,154
37291,154
42727,154
75448,154
99412,154
27048,154
61297,154
10771,154
27447,154
53630,154
94016,154
33305,154
59629,154
44057,154
97466,154
2058,154
19925,154
9096,154
16226,154
19200,154
30849,154
93596,154
54001,154
43974,154
29648,154
6438,154
65322,154
67013,154
47425,154
45138,154
33123,154
50049,154
10130,154
4728,154
24665,154
57137,154
87610,154
17279,154
3273,154
60333,154
57126,154
6408,154
74173,154
24490,154
64716,154
41593,154
86855,154
83463,154
30617,154
