0	0
16.34576887	6.303545125	1
12.49474931	28.62639556	15.52447957
27.79461514	60.03249479	8.058498622
44.42699238	110.1142161	1
-69.85408841	87.94687788	25.08889192
53.56796981	-71.35930809	38.00015126
12.90258404	79.96694891	44.20661624
-6.291098893	-64.89175089	1
-2.685316053	111.0897582	1
38.42886187	101.9736709	35.70131124
39.09014301	72.61892787	27.57992144
-15.57493423	39.55729548	14.55197414
73.18964973	-106.6042199	4.983562329
57.06828972	134.1710513	23.65599779
-68.88467273	61.21439143	1
-40.7404097	-63.95274995	20.85176452
-66.32439126	-65.05711577	1
48.75063102	-124.5720012	6.88447878
34.22210516	-99.39086305	45.80868301
-73.08386235	-74.41726529	43.21221952
18.67162431	-95.71093553	1
47.36264464	61.06830692	27.11317318
-21.28284063	-64.99400773	1
36.40358683	65.85137338	1
52.21852402	10.26521452	26.4288452
18.36674575	51.37295549	38.39440568
29.44142677	86.27599759	14.39033
76.3334846	-38.23942065	1
65.07172593	64.4078959	4.642467899
38.38065982	42.63799852	45.72847367
